Дата,EUR_RUB,USD_RUB,HKD_RUB
01.01.2014,"45,189","32,855","4,237"
02.01.2014,"45,254","33,1","4,269"
03.01.2014,"45,114","33,2","4,282"
04.01.2014,"45,125","33,248","4,288"
05.01.2014,"45,228","33,255","4,289"
06.01.2014,"45,259","33,21","4,283"
07.01.2014,"45,123","33,14","4,274"
08.01.2014,"45,039","33,177","4,279"
09.01.2014,"45,193","33,213","4,283"
10.01.2014,"45,112","33,002","4,256"
11.01.2014,"45,142","32,986","4,254"
12.01.2014,"45,315","33,146","4,274"
13.01.2014,"45,511","33,288","4,293"
14.01.2014,"45,577","33,318","4,297"
15.01.2014,"45,437","33,398","4,307"
16.01.2014,"45,52","33,416","4,309"
17.01.2014,"45,518","33,615","4,334"
18.01.2014,"45,473","33,69","4,344"
19.01.2014,"45,518","33,682","4,342"
20.01.2014,"45,769","33,773","4,354"
21.01.2014,"46,079","33,977","4,38"
22.01.2014,"45,987","33,945","4,375"
23.01.2014,"46,772","34,153","4,402"
24.01.2014,"47,201","34,51","4,446"
25.01.2014,"47,363","34,691","4,467"
26.01.2014,"47,426","34,714","4,47"
27.01.2014,"47,425","34,688","4,466"
28.01.2014,"47,551","34,788","4,48"
29.01.2014,"47,945","35,091","4,52"
30.01.2014,"47,351","34,93","4,497"
31.01.2014,"47,442","35,176","4,531"
01.02.2014,"47,86","35,499","4,573"
02.02.2014,"48,129","35,634","4,588"
03.02.2014,"47,953","35,455","4,565"
04.02.2014,"47,349","35,023","4,511"
05.02.2014,"47,183","34,865","4,492"
06.02.2014,"47,198","34,73","4,476"
07.02.2014,"47,385","34,752","4,479"
08.02.2014,"47,472","34,779","4,483"
09.02.2014,"47,452","34,771","4,482"
10.02.2014,"47,422","34,75","4,48"
11.02.2014,"47,384","34,742","4,479"
12.02.2014,"47,348","34,829","4,49"
13.02.2014,"47,996","35,083","4,524"
14.02.2014,"48,088","35,12","4,528"
15.02.2014,"47,984","35,087","4,524"
16.02.2014,"47,993","35,095","4,525"
17.02.2014,"48,256","35,203","4,539"
18.02.2014,"48,786","35,46","4,573"
19.02.2014,"49,133","35,778","4,614"
20.02.2014,"49,051","35,755","4,61"
21.02.2014,"48,789","35,51","4,579"
22.02.2014,"48,622","35,384","4,563"
23.02.2014,"48,621","35,41","4,565"
24.02.2014,"48,804","35,532","4,58"
25.02.2014,"49,13","35,742","4,605"
26.02.2014,"49,332","36,04","4,644"
27.02.2014,"49,38","36,02","4,641"
28.02.2014,"49,758","36,05","4,646"
01.03.2014,"50,179","36,324","4,681"
02.03.2014,"50,381","36,595","4,715"
03.03.2014,"50,177","36,532","4,707"
04.03.2014,"49,607","36,095","4,651"
05.03.2014,"49,499","36,045","4,644"
06.03.2014,"50,075","36,128","4,655"
07.03.2014,"50,499","36,388","4,689"
08.03.2014,"50,625","36,477","4,7"
