Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %,Тикер
29.12.2023,"192,53","193,90","194,40","191,73","42,67M","-0,54%",AAPL
28.12.2023,"193,58","194,14","194,66","193,17","33,83M","0,22%",AAPL
27.12.2023,"193,15","192,49","193,50","191,09","47,90M","0,05%",AAPL
26.12.2023,"193,05","193,61","193,89","192,83","28,81M","-0,28%",AAPL
22.12.2023,"193,60","195,18","195,41","192,97","37,15M","-0,55%",AAPL
21.12.2023,"194,68","196,10","197,08","193,50","44,08M","-0,08%",AAPL
20.12.2023,"194,83","196,90","197,68","194,83","50,13M","-1,07%",AAPL
19.12.2023,"196,94","196,16","196,95","195,89","40,23M","0,54%",AAPL
18.12.2023,"195,89","196,09","196,63","194,39","55,75M","-0,85%",AAPL
15.12.2023,"197,57","197,53","198,40","197,00","128,54M","-0,27%",AAPL
14.12.2023,"198,11","198,02","199,62","196,16","65,96M","0,08%",AAPL
13.12.2023,"197,96","195,09","198,00","194,85","67,76M","1,67%",AAPL
12.12.2023,"194,71","193,08","194,72","191,72","51,29M","0,79%",AAPL
11.12.2023,"193,18","193,11","193,49","191,42","60,78M","-1,29%",AAPL
08.12.2023,"195,71","194,20","195,99","193,67","53,41M","0,74%",AAPL
07.12.2023,"194,27","193,63","195,00","193,59","47,34M","1,01%",AAPL
06.12.2023,"192,32","194,45","194,76","192,11","40,90M","-0,57%",AAPL
05.12.2023,"193,42","190,21","194,40","190,18","65,35M","2,11%",AAPL
04.12.2023,"189,43","189,98","190,05","187,45","43,07M","-0,95%",AAPL
01.12.2023,"191,24","190,33","191,56","189,23","45,70M","0,68%",AAPL
30.11.2023,"189,95","189,84","190,32","188,19","47,99M","0,31%",AAPL
29.11.2023,"189,37","190,90","192,09","188,97","37,94M","-0,54%",AAPL
28.11.2023,"190,40","189,78","191,08","189,40","37,79M","0,32%",AAPL
27.11.2023,"189,79","189,92","190,67","188,90","40,40M","-0,09%",AAPL
24.11.2023,"189,97","190,87","190,90","189,25","24,04M","-0,70%",AAPL
22.11.2023,"191,31","191,49","192,93","190,82","39,63M","0,35%",AAPL
21.11.2023,"190,64","191,41","191,52","189,74","38,13M","-0,42%",AAPL
20.11.2023,"191,45","189,89","191,90","189,88","46,54M","0,93%",AAPL
17.11.2023,"189,69","190,25","190,38","188,57","50,94M","-0,01%",AAPL
16.11.2023,"189,71","189,57","190,96","188,65","53,99M","0,90%",AAPL
15.11.2023,"188,01","187,85","189,50","187,78","53,23M","0,30%",AAPL
14.11.2023,"187,44","187,70","188,11","186,30","59,71M","1,43%",AAPL
13.11.2023,"184,80","185,82","186,03","184,21","41,97M","-0,86%",AAPL
10.11.2023,"186,40","183,97","186,57","183,53","66,18M","2,19%",AAPL
09.11.2023,"182,41","182,96","184,12","181,81","52,45M","-0,26%",AAPL
08.11.2023,"182,89","182,35","183,45","181,59","49,18M","0,59%",AAPL
07.11.2023,"181,82","179,18","182,44","178,97","70,21M","1,45%",AAPL
06.11.2023,"179,23","176,38","179,43","176,21","63,65M","1,46%",AAPL
03.11.2023,"176,65","174,24","176,82","173,35","79,83M","-0,52%",AAPL
02.11.2023,"177,57","175,52","177,78","175,46","67,02M","2,07%",AAPL
01.11.2023,"173,97","171,00","174,23","170,12","56,93M","1,87%",AAPL
31.10.2023,"170,77","169,35","170,90","167,90","43,52M","0,28%",AAPL
30.10.2023,"170,29","169,02","171,17","168,87","50,47M","1,23%",AAPL
27.10.2023,"168,22","166,91","168,96","166,83","58,50M","0,80%",AAPL
26.10.2023,"166,89","170,37","171,38","165,67","69,45M","-2,46%",AAPL
25.10.2023,"171,10","171,88","173,06","170,65","56,60M","-1,35%",AAPL
24.10.2023,"173,44","173,05","173,67","171,45","43,58M","0,25%",AAPL
23.10.2023,"173,00","170,91","174,01","169,93","55,24M","0,07%",AAPL
20.10.2023,"172,88","175,31","175,42","172,64","64,24M","-1,47%",AAPL
19.10.2023,"175,46","176,04","177,84","175,19","57,62M","-0,22%",AAPL
18.10.2023,"175,84","175,58","177,57","175,11","54,49M","-0,74%",AAPL
17.10.2023,"177,15","176,65","178,42","174,80","57,42M","-0,88%",AAPL
16.10.2023,"178,72","176,75","179,07","176,51","52,17M","-0,07%",AAPL
13.10.2023,"178,85","181,42","181,93","178,14","51,46M","-1,03%",AAPL
12.10.2023,"180,71","180,07","182,34","179,04","56,55M","0,51%",AAPL
11.10.2023,"179,80","178,20","179,85","177,60","47,04M","0,79%",AAPL
10.10.2023,"178,39","178,10","179,72","177,95","43,65M","-0,34%",AAPL
09.10.2023,"178,99","176,81","179,05","175,80","42,39M","0,85%",AAPL
06.10.2023,"177,49","173,80","177,99","173,18","57,27M","1,48%",AAPL
05.10.2023,"174,91","173,79","175,45","172,68","48,38M","0,72%",AAPL
04.10.2023,"173,66","171,09","174,21","170,97","52,74M","0,73%",AAPL
03.10.2023,"172,40","172,26","173,63","170,82","49,04M","-0,78%",AAPL
02.10.2023,"173,75","171,22","174,30","170,93","52,16M","1,48%",AAPL
29.09.2023,"171,21","172,02","173,07","170,34","51,86M","0,30%",AAPL
28.09.2023,"170,69","169,34","172,03","167,62","56,14M","0,15%",AAPL
27.09.2023,"170,43","172,62","173,04","169,05","66,50M","-0,89%",AAPL
26.09.2023,"171,96","174,82","175,20","171,66","64,23M","-2,34%",AAPL
25.09.2023,"176,08","174,20","176,97","174,15","45,99M","0,74%",AAPL
22.09.2023,"174,79","174,67","177,08","174,05","56,73M","0,49%",AAPL
21.09.2023,"173,93","174,55","176,30","173,86","61,71M","-0,89%",AAPL
20.09.2023,"175,49","179,26","179,70","175,40","55,69M","-2,00%",AAPL
19.09.2023,"179,07","177,52","179,63","177,13","50,49M","0,62%",AAPL
18.09.2023,"177,97","176,48","179,38","176,17","65,11M","1,69%",AAPL
15.09.2023,"175,01","176,48","176,49","173,82","109,26M","-0,42%",AAPL
14.09.2023,"175,74","174,00","176,10","173,58","59,63M","0,88%",AAPL
13.09.2023,"174,21","176,51","177,30","173,98","83,45M","-1,19%",AAPL
12.09.2023,"176,30","179,49","180,13","174,82","89,92M","-1,71%",AAPL
11.09.2023,"179,36","180,07","180,30","177,34","58,33M","0,66%",AAPL
08.09.2023,"178,18","178,35","180,24","177,79","65,60M","0,35%",AAPL
07.09.2023,"177,56","175,18","178,21","173,54","111,94M","-2,92%",AAPL
06.09.2023,"182,91","188,40","188,85","181,47","81,16M","-3,58%",AAPL
05.09.2023,"189,70","188,28","189,98","187,61","44,73M","0,13%",AAPL
01.09.2023,"189,46","189,49","189,92","188,28","45,77M","0,85%",AAPL
31.08.2023,"187,87","187,84","189,12","187,48","60,21M","0,12%",AAPL
30.08.2023,"187,65","184,94","187,85","184,74","60,59M","1,92%",AAPL
29.08.2023,"184,12","179,70","184,90","179,50","52,36M","2,18%",AAPL
28.08.2023,"180,19","180,09","180,59","178,54","42,71M","0,88%",AAPL
